LogisticRegression,XgBoostRegLin,XgBoostRegLin_Depth8,XgBoostRegLin_Depth7,Keras,XGBoost,Keras2
7,6.47984743118,6.54475021362,6.56764602661,7.59264659882,6.54313898087,7.03009319305
6,3.49276924133,3.74844145775,3.77305960655,2.32339382172,3.74972248077,2.70717048645
8,6.73715209961,6.75996112823,6.71435403824,6.78593826294,6.60473775864,7.10533857346
8,7.50781345367,7.38137054443,7.32313489914,7.89509773254,7.12633514404,7.75140571594
8,7.18088150024,7.27306938171,7.12893915176,7.89523220062,7.13949918747,7.80203771591
8,7.46062040329,7.35877752304,7.36654090881,7.87927961349,7.42702293396,7.76254320145
6,3.00049328804,2.80965971947,2.75615572929,2.3366189003,2.65686535835,2.79929661751
5,4.69094657898,4.58501672745,4.3718047142,4.62835502625,4.21366739273,5.06011486053
6,6.06153821945,6.15682888031,6.2001914978,6.43052196503,6.10952806473,6.23178339005
8,7.11261701584,7.1549744606,7.05858230591,7.89424467087,7.13842916489,7.77641248703
6,3.66798448563,3.6397292614,3.98936462402,4.73215055466,3.75087165833,4.8006529808
5,3.18784427643,3.31884145737,3.42264413834,4.56738948822,3.67654919624,5.20895195007
8,7.41974639893,7.26398277283,7.22666597366,7.90045547485,7.5329246521,7.77074480057
8,6.97005319595,6.84176063538,6.83820819855,7.79041862488,6.72468757629,7.59840106964
7,4.48442697525,4.76472425461,4.6053442955,6.3189496994,4.43618154526,5.73745918274
6,3.98859667778,3.69647336006,3.88271427155,2.46361017227,3.04908633232,2.4549908638
6,4.4624710083,4.66841459274,4.83044290543,5.4428024292,4.63560009003,5.38251256943
6,5.9030714035,6.16699552536,6.03797340393,6.91505098343,6.17605876923,7.49081516266
8,7.26323080063,7.43812847137,7.29326248169,7.90009355545,7.35789251328,7.80555105209
8,6.83796787262,6.74681043625,6.73789167404,7.73181056976,6.92425775528,7.49883460999
7,6.84389257431,6.66018724442,6.68011856079,6.78121137619,6.70269155502,6.56650829315
2,2.99477124214,3.09472346306,2.90786838531,2.38042020798,3.16915655136,2.34265232086
6,4.69346094131,3.9660077095,4.14004564285,5.76737737656,4.42076015472,5.56045532227
8,6.34070062637,6.67258167267,6.58808088303,7.08196640015,6.31839466095,6.34738826752
8,6.86648750305,7.11775016785,7.10243034363,7.87122917175,7.14089584351,7.70227336884
3,2.33305454254,2.64131116867,2.67379713058,3.35478305817,2.50852656364,2.94605493546
8,7.24217367172,7.27344369888,7.28906059265,7.80335044861,7.26819038391,7.712266922
8,6.68020391464,6.51058721542,6.63146781921,6.93360424042,6.38315820694,7.21821260452
8,7.39692640305,7.28056955338,7.28245687485,7.85715293884,7.26606369019,7.71449899673
4,4.29811668396,4.01754236221,4.12879753113,5.1889872551,3.92756533623,4.78303813934
8,7.2617855072,7.33838844299,7.3956079483,7.81709480286,7.15267944336,7.69991779327
8,6.28099727631,6.31609153748,6.27369976044,7.02034664154,6.21787261963,6.93790435791
3,6.03531932831,6.06055736542,6.07927417755,5.79113531113,5.802526474,6.08873319626
8,7.782289505,7.89407014847,7.90414237976,7.92388725281,7.86854600906,7.76962947845
8,6.500623703,6.62650632858,6.74820327759,7.59327602386,6.79391908646,7.54249286652
8,5.31741952896,5.50048208237,5.73667192459,5.71524429321,5.93811225891,6.32929706573
