LogisticRegression,XgBoostRegLin,XgBoostRegLin_Depth8,XgBoostRegLin_Depth7,Keras,XGBoost,Keras2
8,7.01250934601,6.94659280777,6.80398225784,6.87925958633,6.81914663315,7.12556886673
7,6.53073883057,6.59248304367,6.52127552032,6.63024520874,6.519490242,7.06966018677
8,4.09805774689,4.39673995972,4.52858686447,7.39858627319,4.34791755676,7.2495508194
2,5.98769140244,5.6263923645,5.73837423325,5.59793996811,5.83163309097,6.41636991501
8,5.51775884628,5.35858774185,5.10083770752,6.72940731049,5.46347427368,7.00547456741
8,7.90519523621,7.78437566757,7.77809476852,7.80325651169,7.71085357666,7.91930627823
1,3.01915621758,2.83116316795,3.060765028,1.94080162048,3.03997564316,2.33509397507
6,3.31157541275,3.35186386108,3.60939121246,3.78118610382,3.54847049713,2.82996034622
7,4.85397768021,5.1736869812,5.05620527267,5.68232107162,5.01689529419,5.9205493927
8,7.6608839035,7.40833330154,7.42158508301,7.77583694458,7.39616060257,7.88868045807
8,6.54927968979,6.66375255585,6.65700483322,7.32278823853,6.46430444717,7.27732467651
8,7.12851190567,6.96562433243,6.92464780807,7.74781322479,7.21788597107,7.74644947052
8,5.32030439377,5.75139522552,5.99298000336,5.6682305336,5.68957901001,5.09635639191
8,7.60442209244,7.53685903549,7.46289539337,7.81062841415,7.55161714554,8.00559329987
7,6.73567438126,6.7506685257,6.69649219513,6.77978229523,6.83812761307,7.02135372162
7,5.46114826202,5.78219461441,5.59816551208,6.36389064789,5.39272880554,6.37912559509
8,5.96408843994,6.45162343979,6.55133199692,7.7670788765,6.18310594559,7.23837804794
2,1.83974528313,2.29560828209,2.41041326523,1.92901706696,2.4041864872,2.15958213806
8,7.35076808929,7.47414875031,7.54364728928,7.78501462936,7.23091030121,7.90022706985
2,5.03942298889,4.87778234482,4.8256726265,5.20952749252,4.97972917557,5.4802646637
7,6.19390392303,6.27726507187,6.27431297302,6.5155248642,6.22158813477,7.08975982666
6,6.49771022797,6.48106622696,6.43441581726,6.2317609787,6.10599517822,6.40711259842
6,4.17421722412,4.03493595123,4.19561958313,5.55861282349,4.48565721512,4.87758731842
8,5.27141141891,5.39093160629,5.51072597504,5.32966709137,5.50426197052,5.59645843506
8,7.27652072906,7.55318880081,7.49708604813,7.82262992859,7.21812868118,7.94371986389
8,6.71437835693,6.78503370285,6.62925815582,7.36476421356,6.68550443649,7.3912229538
6,5.84424114227,5.61056804657,5.66389513016,6.29843235016,5.55890035629,6.50972080231
3,3.61838269234,3.66990447044,3.61630296707,3.08656835556,3.7167673111,2.983314991
7,4.42925548553,4.92731523514,4.99359369278,5.94295501709,5.03680229187,6.34683084488
8,7.71552324295,7.71044969559,7.59237575531,7.80610561371,7.60397911072,7.90759086609
6,5.75715637207,6.28528213501,6.20575523376,6.01264333725,6.216152668,6.1266450882
8,7.0753993988,7.63104438782,6.99352216721,6.97562360764,7.2045545578,6.89126634598
8,5.84998893738,5.64594554901,5.49224042892,6.15402984619,5.62780094147,6.16265439987
8,6.52506017685,6.65047740936,6.49307870865,7.42382621765,6.56787586212,7.25297689438
8,7.30307006836,7.65628385544,7.68479967117,7.82749414444,7.83528470993,7.9699420929
8,6.79860877991,6.97344398499,6.9558391571,7.57637691498,7.01792955399,7.69297122955
8,8.10282325745,8.03150367737,7.79119205475,7.8099937439,7.68092632294,7.97909927368
7,6.66951990128,6.64437103271,6.54726409912,6.49569272995,6.50728845596,7.14533805847
1,0.136703163385,0.359528750181,0.315087080002,0.234997749329,0.37303468585,1.1180934906
5,3.65621304512,3.09606051445,3.02979516983,3.14438939095,3.02455401421,2.97340106964
6,5.3119134903,5.57052278519,5.72500276566,5.41694831848,5.83660364151,5.27618455887
8,7.61647462845,7.6609826088,7.58216953278,7.80213499069,7.64209604263,7.94498586655
8,6.67570400238,6.92143058777,6.79032659531,7.73973846436,6.78625154495,7.63945865631
8,7.16921901703,7.18992805481,7.25800561905,7.67777490616,7.277821064,7.7538895607
3,2.49050688744,2.48261785507,2.37017130852,3.11907911301,2.56685113907,3.09999036789
7,5.06019496918,5.10428524017,5.01883935928,5.55472040176,4.93413877487,5.75389957428
6,3.30788016319,3.09500670433,3.21350121498,3.29146051407,3.24362111092,3.33343410492
1,3.04985570908,2.93866157532,2.96289038658,2.41980171204,3.06241154671,2.53950834274
8,6.92876434326,6.90969753265,6.91494941711,7.84090662003,6.9869890213,7.94374465942
5,3.8187558651,3.7532389164,3.81996631622,3.09303951263,3.82509732246,3.41561055183
7,6.4618935585,6.55031633377,6.46723222733,6.51648616791,6.46187019348,6.5614771843
5,3.43752837181,3.74963760376,3.61100888252,4.20654296875,3.70097208023,4.0750617981
7,4.26837253571,4.2924861908,4.60757255554,5.00182962418,4.44375419617,5.84794235229
8,6.6148891449,6.68478441238,6.45538806915,7.60489368439,6.44785881042,7.294734478
8,6.24295330048,6.42573690414,6.08308076859,7.7731552124,6.95459890366,7.71396350861
8,4.47094202042,4.7539639473,4.81262207031,7.57766056061,4.81303262711,7.60432434082
8,6.80000638962,6.52487516403,6.3756313324,6.71589851379,6.42554426193,7.11929512024
7,6.06271934509,6.14963436127,6.18534612656,6.43829154968,6.48177862167,6.4040055275
1,2.69758605957,3.01931548119,2.90678143501,3.45976495743,3.12642121315,3.12254953384
7,5.88725185394,5.86418533325,5.8501367569,6.30964231491,5.84672355652,6.32314634323
8,5.89639902115,6.19285202026,6.25811624527,7.75615692139,6.56833696365,7.7494726181
6,6.10984754562,6.24070596695,5.92473125458,5.42090559006,5.94708967209,5.59270000458
1,1.62459182739,1.55117666721,1.63190329075,1.84763717651,1.41882348061,2.50177574158
7,4.84215736389,5.23678398132,5.26903057098,5.48184871674,5.35906505585,5.11433649063
8,7.10077047348,6.99525022507,6.99362230301,7.77751159668,6.72007036209,7.44983482361
6,2.97376585007,2.78345441818,2.95065355301,3.15661478043,2.84229326248,3.10662293434
8,6.59462022781,6.50618314743,6.598757267,6.99490690231,6.70942354202,7.3311214447
8,6.99929094315,7.04614591599,6.97549962997,7.43428850174,7.0382976532,7.1882519722
6,2.366948843,2.62516665459,2.68063473701,4.14937114716,2.54009628296,3.82761955261
8,7.76183652878,7.76387262344,7.74146938324,7.80483436584,7.72006702423,7.90846347809
1,1.73218667507,1.13940632343,1.1107417345,1.87504816055,1.5207734108,2.14702892303
8,4.9613609314,5.24746417999,5.33024501801,6.02127552032,5.25937795639,6.62962579727
8,6.34820842743,6.40468931198,6.47400617599,6.66464996338,6.36938333511,6.8649892807
6,5.79769992828,5.83657884598,5.84444713593,5.72978401184,5.74957752228,6.18045139313
6,4.8798866272,4.89175653458,4.64374494553,2.83085775375,5.01976585388,5.14843559265
8,6.20147752762,6.1627573967,6.16473245621,6.77038669586,6.31876373291,6.77835321426
2,4.86183404922,4.59761238098,4.61932754517,5.04008674622,4.59906768799,5.52785921097
8,7.83294391632,7.91373062134,7.86563825607,7.81516456604,7.70700931549,7.9566822052
8,7.31549024582,7.19183731079,7.24319314957,7.78546142578,7.07215452194,7.89034366608
1,2.44514536858,2.54257154465,2.35071134567,1.76635551453,2.18977069855,2.55101966858
8,5.50661802292,5.79178762436,5.8916349411,6.27771806717,6.02294397354,5.83835124969
8,5.29927682877,5.29625082016,5.73363447189,7.4494562149,5.38827562332,7.47295236588
7,4.66302061081,4.45631217957,4.53533029556,4.98109149933,4.50799751282,4.60697793961
8,7.30173492432,7.22221326828,7.17295026779,7.72594547272,7.30612516403,7.85439682007
8,6.98658227921,6.91798257828,6.8783288002,7.79311656952,6.94784355164,7.87488555908
5,3.14442324638,3.12837028503,3.27098059654,3.27088475227,3.55901288986,3.56761407852
4,2.75038695335,2.91988325119,2.97108244896,3.2202899456,2.97088241577,3.03065228462
8,7.40292358398,7.12292957306,7.04911422729,7.80266094208,7.04382324219,7.97937297821
5,6.66780805588,6.76214885712,6.7930021286,7.20849323273,6.8590836525,7.1160030365
7,5.18125724792,5.13830423355,5.02433204651,5.63981342316,4.99278783798,5.6624712944
8,6.52902889252,6.54190444946,6.51611804962,7.55758953094,6.52992916107,7.68761539459
7,6.00568771362,5.92546892166,5.78365087509,5.92601013184,5.9823884964,6.14446926117
8,7.15327358246,7.35701942444,7.35817193985,7.82388401031,7.31690740585,7.79407072067
