XgBoostRegLin_Depth7,Keras,XGBoost
3.8627269268,2.42376995087,3.99082899094
6.15308666229,6.09600019455,6.10773611069
6.24752950668,6.66376018524,6.16489458084
6.37173748016,6.57650661469,6.22316169739
6.42864084244,7.04171276093,6.73715829849
6.71633863449,7.71998262405,6.92301988602
6.18170785904,5.8117351532,5.74052858353
7.01056909561,7.98449897766,7.1147274971
5.03651762009,5.87428236008,4.89290094376
6.84863519669,7.9521188736,6.83047008514
7.69415235519,7.98579406738,7.63435983658
6.15984630585,6.95372772217,5.9328751564
3.7129073143,3.22022557259,3.8181283474
7.36357927322,7.97351503372,7.29236030579
5.536028862,4.07001876831,5.41851758957
6.93860530853,7.90110588074,6.71327877045
6.10257339478,5.96828269958,5.77859783173
7.02897882462,5.87648582458,6.77239370346
7.19384860992,7.48036623001,7.2734413147
4.34752368927,2.73868989944,4.23806095123
7.22183132172,7.73756122589,7.43033409119
7.20164966583,7.96475315094,7.03187894821
7.59443664551,7.95923805237,7.61661338806
7.61497068405,7.97511291504,7.49796056747
5.99948453903,6.33061218262,5.87471485138
5.69830274582,6.51729440689,5.78600358963
7.29024076462,7.99084949493,7.17663478851
7.53186988831,7.74655580521,7.38385868073
3.99120330811,5.0705742836,3.9566283226
6.48599100113,7.97959566116,6.14793252945
5.88897752762,7.94364595413,5.93418979645
2.75190329552,2.49040699005,2.68700838089
4.62784481049,4.88598632812,4.62854909897
7.75663232803,7.99036455154,7.86959886551
2.88084745407,2.77753019333,2.81931471825
3.01357603073,3.09369254112,2.77141952515
7.37544536591,7.98226451874,7.47044086456
6.34019565582,7.52760648727,6.50757408142
4.8653960228,5.56559848785,4.92927026749
7.62875318527,8.0111284256,7.67412805557
3.08733558655,2.37489318848,2.95448994637
4.23446750641,4.49596214294,4.22627449036
7.08407688141,7.12873029709,7.21856689453
7.58419704437,7.94956636429,7.55957508087
4.76781797409,6.40654420853,4.59152030945
2.86681962013,3.08200860023,2.67077350616
7.9203081131,8.01852226257,7.91523838043
5.25670480728,5.17148113251,5.41488409042
7.55166101456,7.60037946701,7.11494874954
5.67868995667,6.22314929962,5.73533153534
7.06870365143,7.77378320694,7.10365104675
4.76314783096,5.29264307022,5.01610469818
6.59085416794,7.51913070679,6.45762252808
6.93806123734,7.89223480225,6.74755334854
5.9319524765,5.54687690735,6.02708721161
4.87884521484,6.22411441803,4.90899610519
5.18768548965,5.43340730667,5.21487092972
6.73038578033,7.29533815384,6.73719644547
7.71771717072,7.99823045731,7.57158613205
4.25225543976,3.38482379913,4.07507419586
4.80056715012,3.65929412842,4.45627832413
4.66126918793,3.88992977142,4.44646835327
5.33521080017,5.47707653046,5.29419088364
5.39186668396,3.53672885895,5.6526184082
4.78191423416,3.50074052811,4.62810516357
5.01233386993,5.84928607941,5.19914197922
6.02499866486,6.3962726593,5.98127985001
6.01960611343,6.60971355438,5.91685247421
6.81461048126,7.83386325836,6.91102981567
6.78955602646,7.76150798798,6.76569652557
7.18948173523,7.94549369812,7.30223655701
3.15385437012,2.86756467819,3.49870276451
6.32246780396,8.03959846497,6.51445007324
3.12976288795,2.45783281326,3.07816529274
6.1691570282,6.7988910675,6.28866386414
7.77963972092,8.01111888885,7.97460079193
4.94483041763,5.74054288864,5.3430109024
3.69968438148,4.8089556694,4.01406002045
6.04507017136,7.2765622139,6.34841489792
4.60898113251,3.06054091454,4.40001344681
7.24368476868,7.82540988922,7.04695940018
4.54772567749,5.21962499619,4.53784418106
3.46764850616,3.42061686516,3.3201649189
3.99457168579,3.8261115551,3.97901844978
5.63705301285,5.83174800873,5.65849018097
2.40473103523,2.87997674942,2.06517314911
7.06295204163,7.96958637238,6.98148775101
6.93805980682,7.90671920776,7.05365848541
4.69063186646,4.8976187706,4.91217088699
1.36111688614,1.93034696579,1.08128118515
5.51181983948,5.87521791458,5.42786836624
5.37549448013,6.90079641342,5.05084133148
3.57984423637,3.79988431931,3.7613260746
7.51665401459,8.008852005,7.50184583664
2.97368192673,2.53453445435,3.24506497383
5.70678901672,6.61168479919,5.79827690125
4.5971159935,5.07951688766,4.64621162415
5.20926475525,5.99743795395,5.33539867401
4.31009531021,3.1442835331,4.42928218842
5.28934144974,5.3665804863,5.31340265274
7.34339666367,7.99744749069,7.22689294815
5.40056180954,5.610455513,5.11558008194
6.51024484634,6.99742126465,6.35334539413
2.85254144669,2.49439764023,3.43974876404
6.154920578,7.25740718842,6.04010486603
7.70433139801,7.93189001083,7.72104787827
6.7933139801,7.28067398071,6.81951665878
3.82244491577,2.23693275452,3.63829469681
5.04026603699,6.17127847672,4.97879171371
6.7208647728,7.96024274826,6.70475053787
7.09627771378,7.44732379913,6.92035055161
3.87074995041,2.78363752365,3.95760941505
5.25844955444,6.04683113098,5.15300559998
6.88348436356,7.48396682739,6.90018892288
7.31554317474,7.98177099228,7.45229721069
6.98069858551,7.71058559418,6.7943148613
7.71634912491,7.96587324142,7.63970947266
5.7517952919,5.87299060822,5.2521276474
5.22247648239,5.72182846069,5.12998580933
6.8453745842,7.53901052475,6.79336452484
6.618516922,6.12859582901,6.69427251816
5.14446687698,6.42290401459,5.39058589935
6.95980405807,7.76587963104,6.97920370102
7.15497303009,7.98172616959,7.04992246628
5.80165910721,6.48002195358,5.47577285767
4.31340408325,5.22820901871,4.24664306641
7.16482973099,6.62333488464,7.06758832932
7.62282705307,8.01513195038,7.55910873413
6.96954154968,7.98007202148,6.66340208054
7.40187978745,8.02749919891,7.57596445084
7.14285707474,7.9288444519,6.97805595398
4.76154184341,5.7380232811,4.57819080353
5.92414712906,6.21445941925,5.73213624954
7.3349480629,7.94733953476,7.01214170456
3.78462409973,5.0932559967,4.01344108582
5.65417003632,5.78750371933,5.73511457443
7.16570663452,7.96680021286,7.17617368698
3.74916267395,3.12178611755,3.69337010384
6.77581357956,6.73981046677,6.72426891327
5.63297319412,5.98009490967,5.73789405823
2.86282610893,2.99340415001,3.11147689819
7.07320928574,7.21343612671,7.00558280945
7.19341754913,7.62068414688,7.14694643021
5.96598100662,6.68307876587,5.88852882385
7.82811975479,7.99119281769,7.80229663849
6.35186910629,7.0214548111,6.30341100693
7.10296392441,7.76485967636,6.97171545029
6.33563137054,7.65732336044,6.35957622528
3.82918906212,5.54741287231,4.00394153595
2.25334262848,1.89886236191,1.98640036583
5.19977140427,5.27371835709,5.24514579773
6.50784635544,5.59695482254,6.50952100754
6.07004976273,6.01782989502,6.07943201065
8.07951927185,7.99478292465,8.08320426941
4.96914386749,4.48917865753,5.35274553299
7.86770915985,7.98035430908,7.83456134796
