LogisticRegression,XgBoostRegLin,XgBoostRegLin_Depth8,XgBoostRegLin_Depth7,Keras,XGBoost
4,4.83427906036,5.0513381958,5.1508936882,3.9101896286,5.32491350174
2,4.00430679321,4.18195056915,4.18542385101,3.40197396278,3.84163141251
8,7.48403215408,7.42884349823,7.29631757736,7.85123348236,7.43950557709
6,3.46777629852,3.791847229,3.72798609734,4.59963321686,3.61619853973
6,5.40723705292,5.51345205307,5.41428136826,5.92115402222,5.737449646
8,6.52598190308,6.42862510681,6.4800863266,6.63288354874,6.48299789429
7,3.65601444244,3.53564500809,3.44929838181,3.40439534187,3.09965109825
5,5.06374263763,4.95359563828,5.08545637131,4.83175468445,5.00354814529
8,7.30987691879,7.22177696228,7.20995187759,7.944688797,7.25027751923
8,6.39491796494,6.87216091156,6.84966182709,7.59002828598,6.76586008072
8,7.2735452652,7.18557548523,7.18431186676,7.98178386688,7.39784812927
2,4.99352693558,4.80855894089,4.6963801384,6.87153959274,4.7536945343
5,4.23706817627,4.189453125,4.23932695389,4.67764186859,4.23830795288
5,5.27448701859,5.40589237213,5.35253620148,5.46636199951,5.36729192734
8,7.74249410629,7.65143680573,7.66121244431,7.96031236649,7.59800577164
8,5.66031503677,6.14693832397,6.07416152954,7.67056751251,6.25771141052
8,6.93304681778,6.94109153748,6.95528888702,7.60843229294,7.20788764954
1,4.91388845444,4.99252748489,4.90252590179,6.20065689087,5.07285356522
7,5.14076280594,5.25489759445,5.24000406265,6.03764057159,5.53553771973
1,2.87862634659,2.72851014137,2.07311415672,1.91847753525,2.05230879784
8,6.79089832306,6.56142044067,6.63861560822,7.76288986206,6.66305780411
8,7.49346399307,7.42316675186,7.36397314072,7.80986785889,7.44956922531
8,7.55347633362,7.47253131866,7.49850225449,7.84945583344,7.46608066559
8,7.14745807648,7.23585939407,7.19554901123,7.3699555397,7.14142370224
8,7.83444309235,7.89554166794,7.84234714508,8.09701347351,7.9220199585
6,6.41242837906,6.24628543854,6.33186435699,6.46551895142,6.3030166626
1,4.45627784729,4.13526964188,4.19102668762,2.30755329132,4.21953868866
7,6.47455978394,6.66133451462,6.6248793602,7.15703964233,6.52696037292
8,7.66726446152,7.69395637512,7.61429309845,8.0004901886,7.71835613251
1,2.25833892822,2.24053907394,2.24291157722,1.76949834824,1.95710110664
8,6.80845880508,6.80055570602,6.72941970825,7.19210147858,6.42180967331
8,6.8426861763,6.75054454803,6.86300706863,7.12716436386,6.73780822754
7,4.17149353027,4.33370447159,4.22049999237,4.86855554581,4.56276082993
8,5.36691379547,5.39850902557,5.42233610153,7.79689073563,5.73133325577
8,5.84479284286,6.20476675034,6.48284053802,6.22742462158,6.47262382507
6,5.85555171967,6.16495323181,5.97137069702,6.78480815887,6.06303691864
6,4.42713975906,3.95527005196,4.18217849731,2.29239225388,4.53956460953
8,6.80084609985,6.83959388733,6.7012629509,7.2739777565,6.83593940735
6,4.41773414612,4.56652879715,4.53170728683,5.14504528046,4.68176031113
4,3.2307715416,3.2815952301,3.17990922928,2.9084186554,2.92178440094
6,3.49208235741,3.4130396843,3.39131569862,4.73364639282,3.39573860168
2,2.42452025414,2.58472275734,1.92722308636,2.06490182877,2.08676195145
2,3.00116729736,3.07835173607,3.22050356865,1.62684202194,2.63954758644
4,3.94885063171,3.93541502953,3.89176559448,4.35594749451,4.18454504013
8,7.63827466965,7.60266017914,7.57802772522,8.06485939026,7.600918293
8,7.50167417526,7.46702051163,7.42088794708,7.79431009293,7.47631692886
3,2.92662525177,2.80642390251,2.64367008209,2.09875869751,2.64439964294
1,4.40940952301,4.03382968903,4.03536128998,3.42750525475,3.78127813339
8,6.15367269516,5.98286581039,6.14921808243,6.91223287582,5.98376750946
8,6.47197008133,6.41971540451,6.57307052612,6.79403734207,6.32920885086
8,7.42316246033,7.03767156601,7.05023956299,7.58562707901,6.95013666153
8,7.04088497162,7.31077575684,7.13808631897,7.69617033005,7.23762321472
8,7.11012792587,7.36176490784,7.20232582092,7.81007862091,6.93448257446
8,7.11019277573,7.05283641815,7.07264137268,7.81267786026,6.98888015747
8,6.73236608505,6.84412050247,6.80928182602,7.90695142746,7.04531860352
