LogisticRegression,XgBoostRegLin,XgBoostRegLin_Depth8,XgBoostRegLin_Depth7,Keras,XGBoost
8,7.63423919678,7.54206418991,7.12390136719,7.82751655579,7.22621822357
4,3.82694959641,3.75864267349,3.82513618469,4.29823207855,4.00442028046
8,7.22051382065,7.21129226685,7.11132717133,7.85840606689,7.01060152054
8,7.84751605988,7.81032562256,7.88012504578,7.89111566544,7.91795301437
8,7.19905281067,7.20377826691,7.27546024323,7.84696626663,7.29236793518
8,6.42007780075,6.26654291153,6.48181676865,7.0577878952,6.46713876724
8,7.56492424011,7.47827959061,7.59486865997,7.81762504578,7.59877204895
6,5.68474626541,5.51759719849,5.52891635895,6.24603843689,5.52790737152
8,7.45669364929,7.314640522,7.29968118668,7.87257814407,7.35639238358
7,5.00972604752,5.18966579437,5.21838140488,5.75567770004,4.97205448151
6,4.44937419891,4.47176742554,4.58544445038,5.06974506378,4.54139232635
6,3.51144766808,3.13754844666,3.40980672836,5.28117513657,3.33685421944
7,6.5942902565,6.48336935043,6.35093688965,6.76930904388,6.69281816483
1,2.61635518074,2.65388584137,2.6316549778,2.60735988617,2.80470871925
8,6.89637947083,6.69153499603,6.81655263901,7.85004138947,6.24927186966
5,4.91797876358,5.00930500031,4.89421796799,5.73542308807,4.93729829788
8,6.38570785522,6.31617259979,6.36715888977,7.6371922493,6.81518602371
8,7.64221429825,7.61766242981,7.5814576149,7.88649988174,7.52291822433
6,2.01375174522,1.60934937,1.70182573795,1.95741176605,1.7321523428
8,7.68390655518,7.55177927017,7.62140417099,7.88410282135,7.51235485077
8,7.55787944794,7.58451271057,7.62463617325,7.82892513275,7.64240217209
6,4.32220745087,4.6652879715,4.77120876312,5.31924247742,4.50060224533
5,2.75239682198,3.06671333313,2.97625803947,2.37773704529,3.09604096413
8,6.97043943405,6.95812034607,6.88818883896,7.81250524521,7.05554676056
8,5.35102701187,5.5541267395,5.51627349854,6.13938951492,5.68651628494
8,6.39918327332,6.19732093811,6.16167640686,6.99970531464,6.31725215912
8,5.60588598251,5.83801651001,5.86175107956,7.3923664093,5.85317087173
8,7.10760402679,7.08467006683,7.05862236023,7.84771442413,7.03983545303
6,6.50561618805,6.37491083145,6.41467523575,6.7860956192,6.36572742462
6,6.44252300262,6.41056203842,6.49457120895,6.23250436783,6.18196964264
4,3.78287982941,3.76786661148,3.89644122124,3.7569732666,3.95363640785
7,5.38143396378,5.33026885986,5.29238271713,5.38665533066,5.24519968033
7,5.35441732407,5.41369438171,5.51066589355,6.91962146759,5.61865711212
7,3.70010709763,4.09063243866,3.92373347282,5.21087360382,3.83341550827
6,4.69770383835,4.6987247467,4.68615627289,4.86836338043,4.51090097427
7,5.68201446533,6.38968420029,6.20392942429,7.12666463852,6.24507713318
8,7.58481836319,7.30521297455,7.37793302536,7.89782571793,7.00784254074
8,6.16174554825,6.05460786819,6.06518745422,7.17322635651,5.97349596024
1,1.14037847519,1.04875516891,1.08021736145,0.895309448242,1.6924675703
2,3.40967392921,3.85506629944,3.98222160339,4.70559453964,4.02180671692
8,6.06917953491,6.26885414124,6.20674943924,4.06517314911,5.858481884
2,4.46890926361,4.37745761871,4.73629760742,3.83564019203,4.00579071045
2,2.51403880119,2.9104180336,2.98558115959,2.21761083603,2.76664566994
8,6.34675264359,6.25935840607,6.22049760818,7.48802614212,6.18181371689
6,4.71429300308,4.76023864746,4.94520521164,5.74859237671,4.63863801956
5,6.01495361328,5.7403960228,5.63841485977,5.95752000809,5.94420909882
6,5.16730213165,5.13024950027,5.27359437943,6.41043424606,5.45630502701
8,6.67395448685,6.53263235092,6.50552940369,7.45936489105,6.40338993073
8,5.24358034134,5.14890623093,5.25879764557,6.07766389847,5.33103847504
8,4.76958942413,4.70876979828,4.74698972702,7.85136318207,4.77530574799
8,6.47574901581,6.33353614807,6.29814338684,7.62520122528,6.31531953812
5,5.18296098709,5.45686531067,5.50654602051,6.8111577034,5.35699987411
6,5.13423061371,4.99861335754,4.90130853653,4.35669231415,5.07427692413
1,1.77269327641,1.41029369831,1.60127699375,1.72923660278,1.51632487774
7,6.19452905655,6.45787572861,6.41941022873,7.17554092407,6.09613704681
6,5.07855987549,5.17078590393,5.21157217026,5.94752645493,5.1662106514
6,5.41856527328,5.67935943604,5.84160757065,6.00025367737,5.71447086334
6,5.84200429916,5.80568122864,5.81617736816,6.25166034698,5.6303691864
8,6.77910423279,6.7620139122,6.83084011078,7.84294223785,6.83554840088
6,5.50320625305,5.2761182785,5.44469118118,5.64972257614,5.3079791069
