LogisticRegression,XgBoostRegLin,XgBoostRegLin_Depth8,XgBoostRegLin_Depth7
7,5.96337413788,5.79150438309,5.7946972847
5,2.52894043922,2.58791470528,2.7167942524
1,3.48142933846,3.48307323456,3.23288321495
8,7.2833199501,7.31389284134,7.38508272171
8,6.65887403488,6.93758106232,6.69273090363
8,7.97203350067,7.95172309875,7.95428323746
8,6.29147624969,6.33791446686,6.43161964417
8,7.38001585007,7.31354188919,7.18786621094
8,7.55484247208,7.53977870941,7.5248670578
6,5.86754894257,5.94770050049,5.88174772263
5,4.57218503952,4.61965370178,4.8211812973
8,7.15150690079,6.81535673141,6.7415060997
8,6.44469404221,6.41043281555,6.48057317734
8,6.03215551376,6.3263297081,6.10572099686
2,2.56216931343,2.78522825241,3.31692862511
8,7.10427618027,7.14880466461,7.16788482666
8,6.23672580719,6.17674732208,6.29758787155
8,6.11504554749,6.06714105606,6.363966465
2,3.82504844666,3.95516133308,3.77281808853
1,5.30090236664,5.49873971939,5.39584970474
8,7.2055478096,7.23369884491,7.26811647415
7,2.53374409676,3.07771730423,3.10567331314
6,4.57417011261,4.31814241409,4.20942926407
6,5.35462236404,5.28316307068,5.21012830734
8,7.9633641243,7.91427469254,7.9790019989
7,6.08097076416,6.20755147934,6.20160865784
1,4.45971441269,4.54516887665,4.40709590912
1,2.94452929497,2.61113619804,2.64122486115
2,3.8379175663,3.40519070625,3.43350291252
7,6.59713506699,6.54947471619,6.60463190079
3,2.78332448006,2.91535258293,2.74845051765
8,7.03345441818,7.21233272552,7.21782684326
8,7.39533805847,7.33405303955,7.32638454437
7,5.87545681,5.56945323944,5.54233598709
2,4.91153144836,4.78121614456,4.60435390472
7,6.25628757477,6.10419082642,6.00453233719
8,6.65245437622,6.70924091339,6.56831598282
8,6.55318021774,6.72070503235,6.57100296021
7,5.03987550735,4.65806674957,4.89956045151
8,6.6440076828,6.69382476807,6.77540540695
7,2.37334442139,2.96145987511,3.12252545357
5,5.12157011032,5.30120992661,5.27474069595
4,3.58285093307,3.46502637863,3.43960475922
1,5.65732908249,5.549264431,5.68720531464
8,6.64585113525,6.38013935089,6.27910757065
8,6.78853034973,6.7495598793,6.70742273331
8,7.48727273941,7.49399614334,7.48378038406
8,6.78023052216,6.98387622833,7.32952833176
4,3.95900845528,3.94526100159,3.992831707
5,5.36846590042,5.31838798523,5.38753700256
8,5.518699646,5.41885995865,5.60993432999
1,3.051217556,3.27019500732,3.02917838097
8,7.61169576645,7.63844299316,7.58944272995
8,6.67987966537,6.62181901932,6.45467376709
8,7.74777412415,7.56342697144,7.54887914658
7,5.28113460541,5.5640130043,5.35153961182
5,3.02146410942,3.86359024048,3.15483999252
8,7.14732646942,6.95869636536,7.002866745
6,4.61897134781,4.69928121567,4.71159696579
8,6.34588336945,6.7589597702,6.73498916626
8,7.23930025101,7.28517055511,7.36640548706
8,6.79821252823,6.64116001129,6.69815397263
1,3.5832324028,3.99561905861,4.08921384811
8,6.68246793747,6.47872495651,6.56289339066
8,6.46901988983,6.72010993958,6.54622411728
7,5.29753065109,5.49167060852,5.60359382629
7,5.36940431595,4.97762775421,5.2538151741
8,6.62382555008,6.67450523376,6.75389623642
6,5.60861539841,5.34624576569,5.52535438538
8,6.34737491608,6.55531263351,6.48384380341
2,2.44023752213,2.43763494492,2.34367752075
2,3.81234312057,3.9097161293,4.0730509758
8,7.66828870773,7.60790681839,7.60572195053
8,5.93370103836,5.91093540192,5.51246070862
8,6.39929914474,6.32643795013,6.26857042313
8,7.58611774445,7.62482070923,7.60132694244
8,7.02917861938,6.90939950943,6.79582452774
5,4.62601232529,4.76514196396,4.73673534393
7,4.82146072388,4.98338603973,4.90839290619
8,6.82471656799,6.84720468521,6.86076593399
6,4.85528945923,4.96384382248,5.14758014679
1,3.77701425552,3.41586017609,3.78438615799
7,6.88530349731,6.98158073425,7.07918548584
8,5.73905754089,5.67068243027,5.71250581741
8,7.72127342224,7.69802999496,7.74930286407
6,5.49487447739,5.43080854416,5.4105257988
8,6.52357006073,6.5906701088,6.61297178268
8,6.44330072403,6.45334815979,6.47416496277
6,4.18015861511,4.12856769562,4.12455272675
5,4.96063041687,4.72964143753,4.69230890274
5,4.03668498993,3.83156013489,4.01605796814
7,6.36086654663,6.19355201721,6.19911432266
8,7.24389266968,7.24263906479,7.02824401855
6,3.30945444107,3.41966366768,3.17256379128
8,4.42658567429,4.81430673599,4.61864709854
1,0.741556584835,0.27741008997,0.46770092845
8,6.70645141602,6.83660078049,6.79476451874
8,6.51125717163,6.200922966,6.57185506821
6,3.27284622192,3.82675671577,3.52716803551
1,2.87141513824,3.20385932922,2.97162723541
7,6.32946300507,6.39746713638,6.37901210785
5,4.88428354263,4.50230646133,4.7945933342
4,3.01601171494,3.10547494888,3.2702896595
8,6.51174354553,6.10526418686,5.97664785385
8,5.49421310425,5.56733179092,5.43112277985
8,6.46295022964,6.42088317871,6.4552936554
6,4.96727514267,4.89194202423,4.87358236313
8,7.78896570206,7.66658496857,7.63708972931
8,4.26690483093,4.55626296997,4.45648479462
8,8.08566093445,7.98191642761,7.91993141174
8,6.84094953537,6.78487586975,6.76042032242
8,6.82874059677,6.75182962418,6.61591720581
8,7.852227211,7.8386592865,7.8161072731
8,4.45872545242,4.5346570015,4.60843038559
7,4.87639570236,5.16152048111,4.93873071671
8,7.25655651093,7.30931520462,7.35746097565
1,2.1661400795,2.44323348999,2.56356620789
1,2.40881443024,2.6704916954,3.3855907917
5,4.82778453827,4.80502223969,4.76186943054
8,6.47373199463,6.35852336884,6.42316055298
8,7.40997076035,7.38750076294,7.36159515381
6,5.70431756973,5.8789100647,6.1283493042
2,2.77166962624,2.98959827423,2.84613966942
8,5.71455192566,5.98634910583,6.0852560997
8,7.02678155899,6.87901735306,6.87463092804
8,3.98067498207,4.244140625,4.79839229584
8,7.27420902252,7.18732786179,7.07883214951
8,6.64026832581,6.84991884232,6.62949514389
4,5.86093235016,5.79799604416,5.78011608124
8,7.31358337402,7.24498033524,7.36385202408
8,6.95829868317,7.10838794708,7.02602052689
5,4.28678894043,4.512403965,4.58688688278
6,4.8718252182,5.00997257233,5.13300800323
5,5.11507797241,5.10765552521,5.07425451279
1,3.44422864914,3.62193036079,3.64879608154
8,6.50629281998,6.52435255051,6.492415905
8,5.63238286972,5.78286266327,5.73045635223
8,5.73926067352,5.95895957947,5.83411931992
6,4.99608325958,5.06813144684,4.95741844177
8,6.83651351929,7.02755737305,7.09796142578
6,4.15350627899,4.1848487854,4.26097488403
4,3.12988305092,3.12663793564,3.11655974388
6,4.68639373779,4.66925621033,4.62297105789
8,6.32022380829,6.3356256485,6.32111644745
8,7.62175893784,7.66267681122,7.56358766556
7,6.02947759628,5.88651704788,5.83947849274
2,2.85898447037,3.08531618118,3.13039827347
8,7.78684806824,7.5506196022,7.58045101166
6,4.58790588379,4.81179714203,5.32420778275
8,7.59411048889,7.59879541397,7.49886751175
4,2.7654876709,3.13168311119,3.17739987373
7,3.56543445587,3.54985356331,3.71734070778
4,2.8039958477,3.11225748062,3.15775489807
8,7.61550140381,7.52060031891,7.48253965378
2,2.25753450394,2.43490552902,2.27221870422
8,7.21560144424,7.39595842361,7.5368847847
