LogisticRegression,XgBoostRegLin,XgBoostRegLin_Depth8,XgBoostRegLin_Depth7,Keras,XGBoost,Keras2
8,7.89807081223,7.75103473663,7.34101724625,7.78146934509,7.37689208984,7.74739837646
4,4.18657827377,3.98516082764,3.98754191399,5.22262144089,4.14617347717,4.50283145905
8,7.14870405197,7.17750549316,7.13482713699,7.62524700165,7.06401538849,7.59514427185
8,7.95164823532,7.83129882812,7.84957170486,7.85891628265,7.87076187134,8.09847259521
8,7.23184728622,7.2583861351,7.30540180206,7.5030913353,7.35772705078,7.74939775467
8,7.3782787323,6.89386320114,7.10971164703,7.58922529221,6.95706653595,7.37834024429
8,7.45607280731,7.5157122612,7.57743167877,7.85730457306,7.59486579895,7.94393444061
6,4.73053646088,5.15708255768,5.25032281876,6.23423099518,5.42442321777,6.35410785675
8,7.34293889999,7.44489097595,7.37526702881,7.79500341415,7.3283033371,7.81811714172
7,4.08479976654,4.75307798386,5.04637956619,6.17951107025,4.79390239716,5.67708778381
6,5.20866203308,4.61245727539,4.62613677979,5.38583946228,4.60307264328,4.75234651566
6,2.87043642998,3.15812301636,3.049223423,5.45219612122,3.32170510292,5.08535194397
7,6.64883089066,6.69116210938,6.45107841492,6.50119352341,6.58845043182,7.59989356995
1,2.77625203133,2.56639027596,2.64168262482,3.03187060356,2.64138579369,2.57096600533
8,7.25245666504,6.89114046097,6.96042823792,7.83634567261,6.13892602921,8.05959892273
5,5.15703678131,5.03114843369,5.08478164673,5.58031368256,5.07361412048,5.34926891327
8,6.51163387299,6.51226997375,6.45547676086,7.62996959686,6.6824889183,7.28648662567
8,7.37451457977,7.55260181427,7.42905902863,7.76096153259,7.45600223541,7.83666801453
1,1.795358181,1.6902807951,1.66330969334,2.31103038788,1.61122655869,2.07102608681
8,7.57540655136,7.39514112473,7.48514938354,7.83871603012,7.43472671509,7.99962186813
8,7.55439996719,7.52864789963,7.58150720596,7.78440475464,7.61673069,7.86460113525
6,4.86955499649,4.85724449158,4.60161018372,5.41816425323,4.524746418,5.64728546143
5,3.56798744202,3.28924465179,3.28307366371,3.30595850945,3.01507425308,2.7618701458
8,7.10838031769,7.02726221085,7.07086992264,7.74381494522,7.09462070465,7.82234144211
8,5.67953252792,5.62152004242,5.60513067245,6.00755739212,5.49225330353,6.32135820389
8,6.63148069382,6.39486598969,6.25270605087,7.1063542366,6.31499385834,6.85332775116
8,5.8984131813,5.72334766388,5.75105237961,6.62560272217,5.90445423126,6.81743764877
8,7.2212767601,7.10456895828,7.06506872177,7.78454589844,7.06686115265,7.94149112701
6,6.40068626404,6.36032390594,6.27353715897,6.89594602585,6.3261847496,7.05230855942
6,6.2564868927,6.30455970764,6.29853153229,6.3596777916,6.28090524673,6.60807323456
4,3.87165284157,3.99082612991,4.0311832428,5.01112127304,4.10992622375,4.78889751434
7,5.45701742172,5.26578044891,5.20679664612,5.53740882874,5.21436691284,5.33809423447
7,5.83635282516,5.81197357178,5.74071121216,6.39050722122,5.80576944351,6.47459316254
7,4.41021585464,4.21369743347,4.0363111496,5.27947425842,4.12349939346,4.66209697723
6,3.29364180565,3.75073671341,3.87704563141,4.70854616165,4.05603694916,4.97539615631
7,6.71153450012,6.62604665756,6.4417142868,7.04181575775,6.15060138702,7.39352178574
8,7.74585437775,7.26328802109,7.25442838669,7.81761312485,6.83951616287,7.94318962097
8,5.82951498032,5.97737884521,5.92987442017,6.83851718903,5.88539361954,6.84133434296
1,1.24438786507,1.25075340271,1.44868350029,1.70437955856,1.37047588825,0.793888092041
6,4.90488386154,4.43549346924,4.07912254333,4.91643428802,3.99458503723,3.03858947754
8,6.18888759613,6.09329032898,5.72425556183,6.88599920273,5.98000955582,6.73914527893
1,4.34624958038,4.74142742157,4.70440912247,5.09097957611,4.18681526184,4.84593296051
2,4.39890861511,4.11444282532,3.72429203987,3.14494967461,3.49101901054,2.57318687439
8,6.0824213028,5.8590798378,5.78609418869,7.45624351501,6.18279457092,6.80984210968
6,3.09188723564,3.44505786896,3.82986116409,4.8809633255,4.27770614624,4.09621572495
1,6.00241184235,5.76343822479,5.77783679962,5.66644048691,5.62955141068,6.05679750443
6,5.44413280487,5.24998283386,5.30866384506,6.16265773773,5.35637950897,5.76018190384
8,6.98127269745,6.72893810272,6.71987724304,7.45944595337,6.61796474457,7.04166889191
8,5.23883152008,5.27620697021,5.2766623497,5.38101577759,5.37329292297,5.92728805542
8,4.29934215546,4.49259090424,4.70637226105,7.14502000809,4.91461372375,7.25211143494
8,5.91219806671,6.07383537292,6.11903333664,7.12329006195,6.13783121109,6.59218597412
5,5.83036518097,5.72931051254,5.61324262619,6.01805591583,5.55638122559,6.13702058792
6,5.27532196045,5.20995807648,5.22120046616,4.55027770996,5.09651136398,4.44104957581
1,2.86340165138,2.67254734039,2.07497143745,2.86666965485,2.02328300476,2.48562598228
7,6.30037307739,6.39443063736,6.32134246826,6.53538894653,5.92820119858,6.45248317719
