XgBoostRegLin_Depth7,Keras,XGBoost
4.3529291153,1.8179101944,3.80759334564
6.41425609589,7.32634353638,6.27227401733
6.14021015167,6.56379652023,6.15273094177
6.36132526398,7.29340934753,6.02264261246
6.49612426758,7.11701250076,6.64682531357
6.61364126205,7.82888793945,6.67883491516
5.83137226105,6.02119016647,5.95812225342
7.14878702164,7.79717922211,6.99099302292
5.04275751114,6.31828165054,5.01017618179
6.72245550156,7.855032444,6.77307462692
7.47772121429,7.85379505157,7.57255601883
6.14196205139,7.88038825989,6.10333585739
3.5641849041,3.77890872955,3.9373357296
7.18083286285,7.84157705307,7.26539421082
5.24880743027,5.41381597519,5.32699966431
6.68214941025,7.84584140778,6.40603542328
6.32870864868,6.81466197968,6.05140399933
6.92258691788,6.42279911041,6.89970350266
7.1251502037,7.66330051422,7.08703041077
4.38252401352,2.62045145035,4.48987483978
7.31286716461,7.72130680084,7.15609741211
7.19342899323,7.86545038223,7.21872854233
7.59927177429,7.80784416199,7.482401371
7.58613109589,7.84347915649,7.49346351624
5.96051359177,6.43923854828,6.26034498215
6.02445268631,6.80782032013,6.13668966293
7.14446115494,7.8724155426,7.23976993561
7.44099283218,7.85808324814,7.46504211426
3.88285636902,5.22319126129,4.07656240463
6.75134563446,7.79796934128,6.55660390854
5.71218252182,7.05453205109,5.83373641968
2.64919018745,2.4282746315,2.76163935661
4.67237997055,5.25548171997,4.56783771515
7.75389528275,7.88214063644,7.80579090118
2.87901043892,2.57432603836,2.85350251198
3.19208669662,2.7764248848,3.34559893608
7.52383327484,7.82828903198,7.56651306152
6.62731456757,7.83164072037,6.60759592056
4.77956390381,5.29826974869,4.95921134949
7.69868850708,7.8846116066,7.7392039299
2.95883321762,2.20321321487,2.85426664352
4.03378105164,3.66177034378,4.1670293808
7.09851646423,7.8050904274,7.30866003036
7.52466917038,7.8551402092,7.41932582855
4.35126113892,6.82551240921,4.35835933685
2.67368960381,2.6802148819,2.806224823
7.79982566833,7.87296485901,7.8448972702
5.70937633514,5.3946056366,5.88895797729
7.18850755692,7.84156322479,7.32432365417
5.84521198273,6.63597393036,5.93439483643
7.02754211426,7.77971744537,6.91724157333
4.76262378693,5.42099761963,5.13867235184
6.6992354393,7.83622503281,6.42042303085
6.89415311813,7.83197021484,6.91728925705
5.9718413353,5.28958559036,6.03472423553
4.87713289261,6.65055322647,5.02684020996
4.88468647003,5.84054851532,4.91738128662
6.69649219513,7.51493453979,6.62533569336
7.65080738068,7.82386350632,7.45560979843
4.1568608284,5.13205718994,4.35270023346
4.58981180191,5.14543199539,4.79898929596
5.11750221252,4.49166584015,4.82813882828
5.32798433304,5.90806245804,5.33651590347
6.26964092255,2.71867322922,5.51098108292
4.70045566559,4.52137804031,4.64287853241
4.82900238037,5.58982753754,5.21247339249
6.18129396439,7.03428792953,6.25496387482
6.29995203018,6.65718173981,6.26176214218
6.82597970963,7.24582672119,6.78484487534
6.69639539719,7.79847145081,6.76281642914
7.34732437134,7.83432626724,7.26247882843
3.40955281258,2.6095700264,3.88865280151
6.20754146576,7.95921325684,6.33732271194
3.29033970833,2.75026512146,3.01761436462
6.29684305191,7.60124635696,6.28567790985
7.79528045654,7.85657167435,8.17405319214
5.53435182571,5.76970148087,5.28155326843
3.54308080673,4.65841436386,3.57412219048
6.36322021484,6.85326099396,6.26224851608
4.98856687546,3.15544080734,5.01398992538
7.29693555832,7.85793066025,7.28924131393
4.58376312256,5.65140247345,4.65823745728
3.63343667984,4.0250082016,3.58806681633
3.87128472328,4.44526386261,4.00318622589
5.66967439651,6.0072426796,5.62094020844
2.50818562508,3.09084630013,2.24795532227
7.15372467041,7.84655809402,6.97151041031
7.00053882599,7.80904817581,7.04949808121
4.88751459122,5.35357666016,4.99218034744
0.918602406979,1.56016921997,1.32182061672
5.55503034592,6.27576351166,5.50923013687
5.32794380188,6.73359632492,5.13603878021
3.52286887169,3.90474486351,3.69487261772
7.62533473969,7.85132980347,7.57920789719
3.52709245682,2.09515714645,3.33371782303
5.98223829269,6.76558923721,5.99186658859
4.62607288361,5.56270551682,4.59829235077
5.56184339523,6.19516944885,5.43117427826
4.49528503418,2.92794013023,4.07061576843
5.561814785,6.12784194946,5.36076164246
7.42910861969,7.87168931961,7.35776519775
5.48738956451,5.48147821426,4.98437070847
6.55873203278,7.57632923126,6.70967102051
2.79064011574,2.39041233063,3.27118015289
6.51062059402,7.26702165604,6.50287055969
7.88522052765,7.80454015732,7.81378507614
6.79257583618,7.81692552567,6.85518598557
3.71547412872,2.02496337891,3.55472970009
4.89078998566,6.67247390747,5.06856870651
6.78566741943,7.8529381752,6.82417821884
7.26315736771,7.83257341385,7.0336151123
4.2175579071,2.40863180161,4.4377412796
5.16168832779,6.2784280777,5.01065540314
