LogisticRegression,XgBoostRegLin,XgBoostRegLin_Depth8,XgBoostRegLin_Depth7,Keras,XGBoost
8,7.38601350784,7.55097675323,7.33204174042,7.96171092987,7.29164886475
4,3.91311693192,3.7813243866,3.64930653572,3.68455886841,4.06610488892
8,7.24378728867,7.10602903366,7.02466869354,7.97563838959,7.12029886246
8,7.9223742485,7.92240047455,7.86084318161,7.97990512848,7.84849023819
8,7.05158948898,7.10606908798,7.19962930679,7.86882305145,7.33994007111
8,7.34845113754,7.20294904709,6.89673185349,7.46335744858,6.69644880295
8,7.51610565186,7.55790328979,7.60384511948,7.97555446625,7.80420207977
7,4.54641532898,4.99302959442,5.2271399498,6.40970277786,5.45843029022
8,7.78993749619,7.59607934952,7.60393810272,7.9753446579,7.46736049652
7,3.6915678978,4.70535373688,4.83631563187,5.6042675972,4.95035219193
6,5.11704730988,4.7623052597,4.71775579453,5.71235370636,4.92561244965
6,2.87507414818,3.16759991646,3.28428697586,4.37156486511,3.50558257103
7,6.67819452286,6.52596998215,6.58110761642,6.65516996384,6.76221704483
1,2.65761852264,2.52344465256,2.73896503448,2.91474914551,2.40523386002
8,7.4774518013,7.4293088913,7.00931882858,8.01374149323,6.30446100235
5,5.29824733734,5.24394130707,5.13720846176,5.16799640656,5.23203468323
8,7.07135677338,6.83034467697,6.75343990326,7.62901592255,6.82097101212
8,7.53540182114,7.56697750092,7.4391503334,7.9650850296,7.57557868958
1,1.75265443325,1.66119349003,1.74237036705,2.24767494202,1.72133767605
8,7.55070734024,7.47644996643,7.71008777618,8.01064014435,7.32992696762
8,7.51171207428,7.37074947357,7.51074028015,7.99821376801,7.56679677963
6,4.57025098801,4.59884500504,4.6557264328,5.7847237587,4.59238910675
5,3.44045972824,3.32603740692,3.14196252823,2.39220285416,2.95060276985
8,7.17738389969,6.98113107681,7.01973724365,7.92670488358,7.1693072319
8,5.52431058884,5.38624763489,5.53897762299,6.02505922318,5.50390052795
7,6.56754159927,6.39594459534,6.23950958252,7.19636631012,6.31729841232
8,5.72401666641,5.94982337952,5.88636350632,6.64357376099,5.97974538803
